City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port augusta,-32.5,137.7667,24.66,69,100,7.97,AU,1742079080
83,aban,56.67,96.06,-13.2,99,68,2.09,RU,1742079081
84,ust-nera,64.5667,143.2,-29.89,94,61,0.97,RU,1742079082
85,siwa oasis,29.2041,25.5195,23.95,21,0,3.95,EG,1742079083
86,ushuaia,-54.8,-68.3,10.81,54,40,5.66,AR,1742079084
87,sicuani,-14.2694,-71.2261,9.73,85,95,1.5,PE,1742079086
88,sao geraldo do araguaia,-6.4006,-48.555,24.35,94,33,1.43,BR,1742079087
89,tiksi,71.6872,128.8694,-24.3,98,49,2.83,RU,1742079088
90,bay roberts,47.5999,-53.2648,-2.75,56,100,3.13,CA,1742079089
91,kendari,-3.945,122.4989,24.46,94,98,1.31,ID,1742079090
92,aral,40.5156,81.2636,3.56,20,98,3.8,CN,1742079091
93,ierapetra,35.01,25.7353,16.19,67,1,1.34,GR,1742079092
94,grytviken,-54.2811,-36.5092,2.32,88,25,5.22,GS,1742079093
95,machalpur,24.1333,76.3,23.93,31,42,2.94,IN,1742079094
96,saipan,15.1355,145.701,28.69,79,40,5.66,MP,1742079095
97,akjoujt,19.6969,-14.4164,25.03,22,0,5.18,MR,1742079096
98,mogocha,53.7333,119.7667,-15.98,94,100,1.32,RU,1742079097
99,punta arenas,-53.15,-70.9167,13.06,41,0,5.14,CL,1742079098
100,santa cruz,-17.8,-63.1667,30.03,62,20,3.6,BO,1742078906
101,nemuro,43.3236,145.575,-2.37,70,85,0.88,JP,1742079100
102,bilibino,68.0546,166.4372,-26.32,89,51,0.7,RU,1742079101
103,callao,-12.0667,-77.15,27.62,69,40,7.2,PE,1742079103
104,chubek,37.6137,69.7061,12.18,51,18,1.47,TJ,1742079105
105,avarua,-21.2078,-159.775,30.03,79,40,4.63,CK,1742079106
106,kapuskasing,49.4169,-82.4331,10.0,76,75,6.69,CA,1742079108
